"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\conf\__init__.py", "Python", 13, 0, 4, 17
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\conf\settings.py", "Python", 47, 0, 12, 59
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\exceptions.py", "Python", 84, 0, 17, 101
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\clash.py", "Python", 120, 7, 15, 142
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\node.py", "Python", 200, 20, 38, 258
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\populate.py", "Python", 113, 4, 15, 132
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\process.py", "Python", 153, 21, 45, 219
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\state.py", "Python", 35, 1, 8, 44
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\generate\utility.py", "Python", 261, 27, 37, 325
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\evaluation.py", "Python", 327, 55, 54, 436
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\graphs.py", "Python", 97, 0, 21, 118
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\operations.py", "Python", 151, 2, 21, 174
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\pathway.py", "Python", 143, 11, 39, 193
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\post_generate\validators.py", "Python", 56, 0, 16, 72
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\pre_generate\__init__.py", "Python", 0, 0, 1, 1
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\pre_generate\statistics.py", "Python", 52, 0, 11, 63
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\pre_generate\validate.py", "Python", 27, 0, 3, 30
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\core\protocols.py", "Python", 49, 0, 16, 65
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\static\dummy.py", "Python", 43, 0, 7, 50
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\utils\csv.py", "Python", 12, 0, 3, 15
"c:\Users\User\Documents\Projects\Option blocks\website\server\bloc\utils\logger.py", "Python", 26, 0, 8, 34
"Total", "-", 2009, 148, 395, 2552
